--------------------
BDMEP - INMET
--------------------
Estação           : AIMORES - MG (OMM: 83595)
Latitude  (graus) : -19.49
Longitude (graus) : -41.07
Altitude  (metros): 82.74
Estação Operante
Inicio de operação: 01/06/1972
Periodo solicitado dos dados: 01/01/1980 a 31/01/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83595;31/01/1980;0000;14;1.06;2.1;85.3;;;191.7;8.322222;14;237.1;;;31.973333;26.04;22.12;72.2;;
83595;29/02/1980;0000;14;1.091765;4;87;;;207.2;7.976471;13;192.2;;;32.542857;26.308571;21.892857;77.865385;;
83595;31/03/1980;0000;9;1.059551;2.1;109;;;273;7.325843;3;63;;;33.25;25.682;20.54;78.114583;;
83595;30/04/1980;0000;32;1.033333;2.1;67.5;;;147.8;8.049383;9;138.5;;;31.181481;24.48963;20.711111;79.826923;;
83595;31/05/1980;0000;14;1;1;59.6;;;160;7.773333;7;39.7;;;30.288;23.2112;18.512;69.12;;
83595;30/06/1980;0000;14;1.018519;1.5;69.1;;;167.4;7.604938;4;5;;;28.711111;21.479259;16.596296;60.398148;;
83595;31/07/1980;0000;9;1.161333;2.1;70.2;;;184.8;7.373333;3;10.4;;;28.956;20.1752;15.448;;;
83595;31/08/1980;0000;14;1.101111;2.1;97.6;;;209.4;7.666667;2;16.6;;1002.37;29.37;22.120667;16.906667;59.732759;;
83595;30/09/1980;0000;14;1.124051;2.1;91.4;;;125.2;8.21519;4;4.2;;999.305063;29.496154;23.054615;18.284615;74.020833;;
83595;31/10/1980;0000;14;1.04507;2.1;118;;;175.1;7.915493;2;1.6;;;32.208333;25.264167;20.4375;;;
