year,age,classes,enrolled,enrolled_growth,enrolled_growth_5,bra_id,num_schools,ibge_id
2007,12.0016,51,1218,None,None,4mg000000,4,3101631
2008,12.1838,54,1235,0.0139573,None,4mg000000,4,3101631
2009,12.3297,57,1274,0.0315789,None,4mg000000,4,3101631
2010,12.4227,59,1280,0.00470958,None,4mg000000,4,3101631
2011,12.3883,57,1262,-0.0140625,None,4mg000000,4,3101631
2012,12.5604,56,1242,-0.0158479,0.00391019,4mg000000,4,3101631
2013,12.38,51,1220,-0.02,0.0,4mg000000,4,3101631
2014,12.17,52,1226,0.0,-0.01,4mg000000,4,3101631
2007,11.9328,97,1978,None,None,4mg000001,16,3102902
2008,12.189,103,2032,0.0273003,None,4mg000001,16,3102902
2009,12.1185,102,1916,-0.0570866,None,4mg000001,15,3102902
2010,12.126,104,1801,-0.0600209,None,4mg000001,14,3102902
2011,12.4313,94,1857,0.0310938,None,4mg000001,15,3102902
2012,12.39,90,1764,-0.0500808,-0.0226402,4mg000001,14,3102902
2013,12.45,82,1705,-0.03,-0.03,4mg000001,12,3102902
2014,12.34,82,1631,-0.04,-0.03,4mg000001,12,3102902
2007,13.1826,996,26844,None,None,4mg000002,73,3105608
2008,13.2331,1006,26784,-0.00223514,None,4mg000002,73,3105608
2009,13.3159,989,26012,-0.0288232,None,4mg000002,71,3105608
2010,13.3383,962,25240,-0.0296786,None,4mg000002,71,3105608
2011,13.5234,954,24729,-0.0202456,None,4mg000002,69,3105608
2012,13.9619,951,24755,0.0010514,-0.0160724,4mg000002,70,3105608
2013,13.78,946,24314,-0.02,-0.02,4mg000002,70,3105608
2014,13.57,903,23319,-0.04,-0.02,4mg000002,71,3105608
2007,12.1219,156,3898,None,None,4mg000003,12,3105905
2008,12.0188,166,4037,0.0356593,None,4mg000003,14,3105905
2009,12.1565,159,3986,-0.0126331,None,4mg000003,11,3105905
2010,12.0666,158,3861,-0.0313598,None,4mg000003,11,3105905
2011,12.552,157,3969,0.027972,None,4mg000003,12,3105905
2012,13.1801,170,3948,-0.00529101,0.00255236,4mg000003,12,3105905
2013,13.37,166,4144,0.05,0.01,4mg000003,12,3105905
2014,13.4,163,4061,-0.02,0.0,4mg000003,12,3105905
2007,12.4919,44,927,None,None,4mg000004,8,3112208
2008,12.3516,45,876,-0.0550162,None,4mg000004,8,3112208
2009,12.8998,46,888,0.0136986,None,4mg000004,8,3112208
2010,12.9295,45,865,-0.0259009,None,4mg000004,8,3112208
2011,13.0468,45,854,-0.0127168,None,4mg000004,8,3112208
2012,12.7027,43,841,-0.0152225,-0.019284,4mg000004,8,3112208
2013,12.67,43,829,-0.01,-0.01,4mg000004,8,3112208
2014,12.73,44,836,0.01,-0.01,4mg000004,8,3112208
2007,12.6273,39,770,None,None,4mg000005,5,3113107
2008,12.4972,41,716,-0.0701299,None,4mg000005,5,3113107
2009,12.4879,41,705,-0.0153631,None,4mg000005,5,3113107
2010,12.5817,36,679,-0.0368794,None,4mg000005,5,3113107
2011,13.6544,35,651,-0.0412371,None,4mg000005,5,3113107
2012,13.6272,32,625,-0.0399386,-0.0408692,4mg000005,5,3113107
2013,12.72,36,580,-0.07,-0.04,4mg000005,5,3113107
2014,12.71,30,532,-0.08,-0.05,4mg000005,5,3113107
2007,12.585,198,4836,None,None,4mg000006,23,3113206
2008,12.446,202,4632,-0.0421836,None,4mg000006,24,3113206
2009,12.3911,195,4518,-0.0246114,None,4mg000006,22,3113206
2010,12.41,199,4449,-0.0152722,None,4mg000006,22,3113206
2011,12.425,193,4292,-0.0352888,None,4mg000006,21,3113206
2012,12.5634,182,4187,-0.0244641,-0.0284093,4mg000006,21,3113206
2013,12.44,185,4055,-0.03,-0.03,4mg000006,21,3113206
2014,12.25,176,3982,-0.02,-0.02,4mg000006,21,3113206
2007,12.5028,45,708,None,None,4mg000007,6,3121506
2008,12.3372,41,691,-0.0240113,None,4mg000007,6,3121506
2009,12.3746,44,678,-0.0188133,None,4mg000007,6,3121506
2010,12.3722,34,626,-0.0766962,None,4mg000007,6,3121506
2011,12.4736,30,587,-0.0623003,None,4mg000007,6,3121506
2012,12.5804,32,603,0.0272572,-0.0315955,4mg000007,6,3121506
2013,12.65,31,599,-0.01,-0.03,4mg000007,6,3121506
2014,12.79,31,592,-0.01,-0.03,4mg000007,6,3121506
2007,12.3852,50,1150,None,None,4mg000008,6,3129400
2008,12.5814,54,1118,-0.0278261,None,4mg000008,6,3129400
2009,12.5684,51,1096,-0.019678,None,4mg000008,6,3129400
2010,12.5856,50,1040,-0.0510949,None,4mg000008,6,3129400
2011,12.4321,48,979,-0.0586538,None,4mg000008,6,3129400
2012,12.5324,46,941,-0.0388151,-0.0393209,4mg000008,6,3129400
2013,12.34,45,887,-0.06,-0.05,4mg000008,6,3129400
2014,12.33,44,902,0.02,-0.04,4mg000008,6,3129400
2007,12.3209,51,1022,None,None,4mg000009,4,3154408
2008,12.1226,41,954,-0.0665362,None,4mg000009,4,3154408
2009,12.367,42,932,-0.0230608,None,4mg000009,4,3154408
2010,12.3855,40,882,-0.0536481,None,4mg000009,4,3154408
2011,12.6141,39,868,-0.015873,None,4mg000009,4,3154408
2012,12.5236,39,804,-0.0737327,-0.0468505,4mg000009,4,3154408
2013,12.52,38,812,0.01,-0.03,4mg000009,4,3154408
2014,13.1,41,860,0.06,-0.02,4mg000009,5,3154408
2007,12.6877,52,903,None,None,4mg000010,9,3157302
2008,12.5298,55,889,-0.0155039,None,4mg000010,9,3157302
2009,12.1253,52,806,-0.0933633,None,4mg000010,9,3157302
2010,12.0927,49,766,-0.0496278,None,4mg000010,9,3157302
2011,12.2319,49,733,-0.0430809,None,4mg000010,9,3157302
2012,12.3206,46,708,-0.0341064,-0.047491,4mg000010,8,3157302
2013,12.55,45,693,-0.02,-0.05,4mg000010,8,3157302
2014,12.42,40,673,-0.03,-0.04,4mg000010,7,3157302
2007,12.417,94,1971,None,None,4mg000011,16,3166204
2008,12.4266,97,1915,-0.028412,None,4mg000011,16,3166204
2009,12.3451,89,1875,-0.0208877,None,4mg000011,17,3166204
2010,12.368,89,1834,-0.0218667,None,4mg000011,14,3166204
2011,12.4868,87,1775,-0.0321701,None,4mg000011,13,3166204
2012,12.512,79,1746,-0.016338,-0.0239512,4mg000011,13,3166204
2013,12.44,79,1681,-0.04,-0.03,4mg000011,13,3166204
2014,12.39,76,1617,-0.04,-0.03,4mg000011,15,3166204
2007,12.6318,42,907,None,None,4mg000100,7,3114600
2008,12.5796,41,861,-0.0507166,None,4mg000100,7,3114600
2009,12.6655,38,855,-0.00696864,None,4mg000100,6,3114600
2010,12.6781,37,814,-0.0479532,None,4mg000100,6,3114600
2011,12.4994,39,779,-0.0429975,None,4mg000100,6,3114600
2012,12.7166,36,734,-0.0577664,-0.0414434,4mg000100,6,3114600
2013,12.46,35,688,-0.06,-0.04,4mg000100,5,3114600
2014,12.36,29,671,-0.02,-0.05,4mg000100,3,3114600
2007,12.8663,54,1354,None,None,4mg000101,4,3130408
2008,12.6563,53,1347,-0.00516987,None,4mg000101,3,3130408
2009,12.6906,56,1338,-0.00668151,None,4mg000101,3,3130408
2010,12.833,57,1329,-0.00672646,None,4mg000101,3,3130408
2011,12.6758,58,1308,-0.0158014,None,4mg000101,3,3130408
2012,12.8873,58,1304,-0.0030581,-0.0074971,4mg000101,3,3130408
2013,12.61,56,1187,-0.09,-0.02,4mg000101,3,3130408
2014,12.41,50,1151,-0.03,-0.03,4mg000101,3,3130408
2007,12.6738,40,607,None,None,4mg000102,6,3130804
2008,12.5429,42,571,-0.0593081,None,4mg000102,6,3130804
2009,13.2226,30,557,-0.0245184,None,4mg000102,6,3130804
2010,12.6395,25,527,-0.05386,None,4mg000102,2,3130804
2011,12.7269,25,542,0.028463,None,4mg000102,2,3130804
2012,12.9262,24,515,-0.0498155,-0.032338,4mg000102,2,3130804
2013,13.06,24,510,-0.01,-0.02,4mg000102,2,3130804
2014,12.79,24,502,-0.02,-0.02,4mg000102,2,3130804
2007,12.5337,62,1411,None,None,4mg000103,5,3134301
2008,12.6624,59,1339,-0.0510276,None,4mg000103,4,3134301
2009,12.7488,58,1298,-0.0306199,None,4mg000103,4,3134301
2010,12.5658,54,1216,-0.0631741,None,4mg000103,4,3134301
2011,12.557,58,1167,-0.0402961,None,4mg000103,4,3134301
2012,12.8336,48,1154,-0.0111397,-0.0394151,4mg000103,4,3134301
2013,12.7,50,1133,-0.02,-0.03,4mg000103,4,3134301
2014,12.38,47,1099,-0.03,-0.03,4mg000103,4,3134301
2007,12.2125,36,767,None,None,4mg000104,3,3134509
2008,12.3258,34,752,-0.0195567,None,4mg000104,4,3134509
2009,12.4883,36,766,0.018617,None,4mg000104,4,3134509
2010,12.6217,31,727,-0.0509138,None,4mg000104,4,3134509
2011,12.6908,29,676,-0.0701513,None,4mg000104,3,3134509
2012,12.8406,30,715,0.0576923,-0.0139427,4mg000104,3,3134509
2013,12.67,30,704,-0.02,-0.01,4mg000104,2,3134509
2014,12.51,30,647,-0.08,-0.03,4mg000104,2,3134509
2007,13.6093,739,19001,None,None,4mg000105,44,3138203
2008,13.7026,726,18699,-0.0158939,None,4mg000105,45,3138203
2009,13.2788,696,18028,-0.0358843,None,4mg000105,45,3138203
