enrolled,graduates,entrants,morning,afternoon,night,full_time,age,graduates_growth,enrolled_growth,year,bra_id,course_hedu_id,ibge_id
35,0,38,0,0,38,38,24.13,None,None,2009,4mg050413,345A14,3143302
62,13,15,0,0,81,81,25.44,None,None,2009,4mg080609,345A14,3170206
120,15,40,0,0,132,132,23.98,None,None,2009,4mg110209,345A14,3139409
185,26,42,0,0,0,0,22.38,None,None,2009,4mg110619,345A14,3171303
25,1,25,0,0,0,0,19.20,None,None,2009,4mg000105,520E02,3138203
68,0,52,0,0,0,80,20.18,-1.0,1.72,2010,4mg000105,520E02,3138203
205,0,125,0,0,265,265,24.22,None,None,2009,4mg010001,520E02,3107406
213,0,69,0,0,259,0,24.77,0.0,0.04,2010,4mg010001,520E02,3107406
255,41,57,0,0,325,0,25.09,0.0,0.0,2012,4mg010001,520E02,3107406
203,36,52,0,0,301,0,25.15,-0.12,-0.2,2013,4mg010001,520E02,3107406
1368,105,633,517,1111,520,520,22.74,None,None,2009,4mg030000,520E02,3106200
1837,135,731,1088,1130,986,79,23.11,0.29,0.34,2010,4mg030000,520E02,3106200
1242,142,409,712,865,1372,0,23.27,0.0,0.0,2012,4mg030000,520E02,3106200
1468,122,507,1211,727,1683,0,23.47,-0.14,0.18,2013,4mg030000,520E02,3106200
29,0,33,33,0,33,33,25.24,None,None,2009,4mg030001,520E02,3106705
48,0,86,0,0,86,86,24.99,None,None,2009,4mg030013,520E02,3144805
24,0,32,0,0,32,32,27.84,None,None,2009,4mg030203,520E02,3118304
104,0,100,0,0,118,0,25.69,0.0,3.33,2010,4mg030203,520E02,3118304
201,0,16,0,0,258,258,26.53,None,None,2009,4mg030307,520E02,3131703
284,32,120,0,0,334,51,25.82,0.0,0.41,2010,4mg030307,520E02,3131703
298,25,116,0,0,313,135,25.18,0.0,0.0,2012,4mg030307,520E02,3131703
331,24,165,0,0,307,162,25.27,-0.04,0.11,2013,4mg030307,520E02,3131703
206,0,216,0,0,219,219,23.78,None,None,2009,4mg030308,520E02,3136207
267,0,267,0,0,267,0,24.41,0.0,0.3,2010,4mg030308,520E02,3136207
272,21,266,0,0,341,0,24.61,0.0,0.0,2012,4mg030308,520E02,3136207
373,0,238,0,0,390,0,24.75,-1.0,0.37,2013,4mg030308,520E02,3136207
184,20,36,0,0,0,0,21.92,None,None,2009,4mg030503,520E02,3146107
188,23,35,0,0,0,203,21.96,0.15,0.02,2010,4mg030503,520E02,3146107
196,25,40,0,0,0,219,22.80,0.0,0.0,2012,4mg030503,520E02,3146107
190,22,38,0,0,0,213,23.02,-0.12,-0.03,2013,4mg030503,520E02,3146107
358,0,31,377,0,377,377,24.32,None,None,2009,4mg030719,520E02,3167202
415,100,47,0,0,528,0,24.91,0.0,0.0,2012,4mg030719,520E02,3167202
353,41,41,0,0,418,0,24.80,-0.59,-0.15,2013,4mg030719,520E02,3167202
266,0,223,0,0,266,266,23.98,None,None,2009,4mg040005,520E02,3147006
234,27,75,0,0,279,0,25.06,0.0,-0.12,2010,4mg040005,520E02,3147006
211,59,55,0,0,262,0,24.68,0.0,0.0,2012,4mg040005,520E02,3147006
160,43,48,0,0,218,0,24.66,-0.27,-0.24,2013,4mg040005,520E02,3147006
557,0,120,655,0,655,655,23.36,None,None,2009,4mg050413,520E02,3143302
630,92,105,801,0,801,0,23.75,0.0,0.13,2010,4mg050413,520E02,3143302
587,77,89,727,0,727,0,23.98,-0.16,-0.07,2011,4mg050413,520E02,3143302
498,59,102,662,0,662,0,24.05,-0.23,-0.15,2012,4mg050413,520E02,3143302
429,85,91,581,0,581,0,24.00,0.44,-0.14,2013,4mg050413,520E02,3143302
295,34,56,0,0,319,319,23.60,None,None,2009,4mg060203,520E02,3126109
163,24,39,0,0,0,0,21.85,None,None,2009,4mg070205,520E02,3132404
193,24,37,0,0,0,203,22.26,0.0,0.18,2010,4mg070205,520E02,3132404
156,15,45,0,0,0,194,21.61,0.0,0.0,2012,4mg070205,520E02,3132404
191,20,46,0,0,0,218,21.88,0.33,0.22,2013,4mg070205,520E02,3132404
424,14,90,0,0,444,444,24.43,None,None,2009,4mg070310,520E02,3147907
379,84,65,0,0,509,0,24.83,5.0,-0.11,2010,4mg070310,520E02,3147907
326,68,99,0,0,418,0,24.48,0.0,0.0,2012,4mg070310,520E02,3147907
263,14,52,0,0,325,0,24.97,-0.79,-0.19,2013,4mg070310,520E02,3147907
15,0,15,0,0,0,15,22.67,0.0,0.0,2012,4mg070411,520E02,3151800
130,3,119,92,0,92,42,23.25,0.0,7.67,2013,4mg070411,520E02,3151800
9,0,12,0,0,0,0,22.30,None,None,2009,4mg070609,520E02,3162005
11,0,0,0,0,0,16,22.12,0.0,0.0,2010,4mg070913,520E02,3169307
92,0,115,0,0,115,115,21.50,None,None,2009,4mg080306,520E02,3148004
163,0,22,0,0,214,0,21.35,0.0,0.77,2010,4mg080306,520E02,3148004
460,9,158,0,0,534,534,23.16,None,None,2009,4mg080505,520E02,3170107
577,51,158,0,0,668,52,23.33,4.67,0.25,2010,4mg080505,520E02,3170107
462,69,112,0,0,373,527,22.38,0.0,0.0,2012,4mg080505,520E02,3170107
424,50,90,0,0,307,505,22.50,-0.28,-0.08,2013,4mg080505,520E02,3170107
202,0,114,0,0,272,272,23.86,None,None,2009,4mg080609,520E02,3170206
356,15,190,38,0,355,81,23.12,0.0,0.76,2010,4mg080609,520E02,3170206
446,37,122,0,0,291,541,22.55,0.0,0.0,2012,4mg080609,520E02,3170206
477,31,120,0,0,234,558,22.15,-0.16,0.07,2013,4mg080609,520E02,3170206
15,0,25,0,0,25,0,22.44,0.0,0.0,2010,4mg090112,520E02,3168606
264,0,103,0,0,311,311,23.83,None,None,2009,4mg100404,520E02,3131307
296,13,70,0,0,327,0,24.21,0.0,0.12,2010,4mg100404,520E02,3131307
78,0,75,0,104,0,0,24.44,None,None,2009,4mg110007,520E02,3138401
123,0,69,0,0,151,0,24.52,0.0,0.58,2010,4mg110007,520E02,3138401
40,0,52,0,0,53,0,26.04,0.0,0.0,2012,4mg110111,520E02,3136702
79,0,83,0,0,121,0,24.97,None,0.98,2013,4mg110111,520E02,3136702
205,25,48,0,0,0,0,21.13,None,None,2009,4mg110619,520E02,3171303
216,46,51,0,0,0,243,21.28,0.84,0.05,2010,4mg110619,520E02,3171303
294,34,140,0,0,112,325,21.69,0.0,0.0,2012,4mg110619,520E02,3171303
324,30,128,0,0,161,356,22.14,-0.12,0.1,2013,4mg110619,520E02,3171303
42,0,49,0,0,0,49,20.96,0.0,0.0,2010,4mg000002,621A04,3105608
65,0,40,0,0,0,82,22.16,0.0,0.55,2011,4mg000002,621A04,3105608
85,0,45,0,0,0,112,22.81,0.0,0.31,2012,4mg000002,621A04,3105608
132,0,37,0,0,0,132,23.77,None,0.55,2013,4mg000002,621A04,3105608
