year,month,import_val,export_val,import_kg,export_kg,import_val_growth,import_val_growth_5,export_val_growth,export_val_growth_5,wld_diversity,wld_diversity_eff,hs_diversity,hs_diversity_eff,eci,bra_id,ibge_id
2000,0,None,6708727.00,None,58044500,None,None,None,None,1,1.0,1,1.0,None,4mg000000,3101631
2001,0,None,3912760.00,None,39579000,None,None,-0.416766,None,2,1.98932,1,1.0,None,4mg000000,3101631
2002,0,None,7432656.00,None,72554064,None,None,0.899594,None,3,1.62619,2,1.01319,-0.0126745,4mg000000,3101631
2003,0,None,6398183.00,None,54124285,None,None,-0.139179,None,4,2.60468,3,1.04977,-0.0202477,4mg000000,3101631
2004,0,None,9152156.00,None,55641070,None,None,0.43043,None,4,1.70214,3,1.05366,-0.0282132,4mg000000,3101631
2005,0,None,3964212.00,None,16083785,None,None,-0.566855,-0.0998739,2,1.05573,2,1.05573,-0.0124217,4mg000000,3101631
2006,0,None,8001990.00,None,31487640,None,None,1.01856,0.153833,2,1.02805,2,1.02805,-0.013568,4mg000000,3101631
2007,0,None,63731.00,None,13792,None,None,-0.992036,-0.613952,1,1.0,1,1.0,-0.0301555,4mg000000,3101631
2008,0,None,4485194.00,None,8004085,None,None,69.377,-0.0685814,2,1.09458,2,1.09458,-0.0528868,4mg000000,3101631
2009,0,None,62487.00,None,11220,None,None,-0.986068,-0.631147,1,1.0,1,1.0,-0.0732095,4mg000000,3101631
2010,0,None,29206.00,None,5480,None,None,-0.532607,-0.62549,1,1.0,1,1.0,-0.0583144,4mg000000,3101631
2011,0,None,23145.00,None,3140,None,None,-0.207526,-0.689364,1,1.0,1,1.0,-0.100145,4mg000000,3101631
2012,0,None,15777.00,None,1970,None,None,-0.318341,-0.243629,1,1.0,1,1.0,-0.0978356,4mg000000,3101631
2004,0,None,4456.00,None,14,None,None,None,None,1,1.0,2,1.40536,-0.000112728,4mg000001,3102902
2005,0,None,4302.00,None,15,None,None,-0.0345601,None,1,1.0,1,1.0,-3.05362e-05,4mg000001,3102902
2006,0,None,895.00,None,9,None,None,-0.791957,None,1,1.0,1,1.0,-6.16135e-06,4mg000001,3102902
