wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,year,bra_id,cbo_id,ibge_id
49841.87,181,181,45,275.37,32.536,None,None,None,None,2002,4mg000000,6,3101631
80439.38,349,349,141,230.49,35.751,None,None,None,None,2002,4mg000001,6,3102902
180531.28,738,738,240,244.62,35.732,None,None,None,None,2002,4mg000002,6,3105608
41525.11,69,69,16,601.81,39.362,None,None,None,None,2002,4mg000003,6,3105905
2685.19,12,12,11,223.77,36.0,None,None,None,None,2002,4mg000004,6,3112208
7658.15,36,36,21,212.73,36.194,None,None,None,None,2002,4mg000005,6,3113107
143570.37,613,613,129,234.21,32.847,None,None,None,None,2002,4mg000006,6,3113206
13875.32,65,65,32,213.47,35.938,None,None,None,None,2002,4mg000007,6,3121506
28419.99,123,123,41,231.06,36.618,None,None,None,None,2002,4mg000008,6,3129400
36000.88,137,137,41,262.78,35.007,None,None,None,None,2002,4mg000009,6,3154408
4873.96,23,23,16,211.91,35.435,None,None,None,None,2002,4mg000010,6,3157302
3504.17,15,15,5,233.61,35.133,None,None,None,None,2002,4mg000011,6,3166204
30659.18,142,142,56,215.91,37.915,None,None,None,None,2002,4mg000100,6,3114600
19922.80,61,61,33,326.60,36.885,None,None,None,None,2002,4mg000101,6,3130408
59500.00,222,222,55,268.02,37.541,None,None,None,None,2002,4mg000102,6,3130804
11006.48,50,50,34,220.13,35.66,None,None,None,None,2002,4mg000103,6,3134301
12577.17,58,58,28,216.85,37.138,None,None,None,None,2002,4mg000104,6,3134509
226841.79,934,935,313,242.61,37.214,None,None,None,None,2002,4mg000105,6,3138203
45146.08,199,199,40,226.87,39.819,None,None,None,None,2002,4mg000106,6,3138708
330813.78,1356,1361,341,243.07,38.417,None,None,None,None,2002,4mg000107,6,3144607
3394.11,16,16,11,212.13,40.125,None,None,None,None,2002,4mg000108,6,3154705
7350.70,35,35,17,210.02,36.343,None,None,None,None,2002,4mg000200,6,3115201
12503.09,57,57,31,219.35,33.614,None,None,None,None,2002,4mg000201,6,3119708
1837.91,9,9,3,204.21,35.778,None,None,None,None,2002,4mg000202,6,3123007
50314.83,221,222,55,226.64,34.851,None,None,None,None,2002,4mg000203,6,3137403
28425.73,124,124,45,229.24,35.508,None,None,None,None,2002,4mg000204,6,3139102
22707.78,91,91,33,249.54,37.209,None,None,None,None,2002,4mg000205,6,3144508
18770.64,83,83,42,226.15,37.614,None,None,None,None,2002,4mg000206,6,3150307
3815.09,16,16,10,238.44,38.438,None,None,None,None,2002,4mg000207,6,3152709
